,aff_dist_func,aff_k,aff_mask_func,aff_sigma,algorithm,alpha,can_plot,corruption_level,dataset,elapsed_time,labeled_percent,mu,tuning_iter,experiments,mean_acc,sd_acc,each_acc,min_acc,max_acc,median_acc
104,gaussian,15.0,knn,0.2,LDST,,False,0.2,spiral_hard,27.533233165740967,0.01,99.0,1.0,20,0.9215000000000002,0.18928460347083467,"[0.2793333333333333, 0.43799999999999994, 0.9813333333333332, 0.9826666666666668, 0.9826666666666668, 0.9826666666666668, 0.9833333333333332, 0.9833333333333332, 0.9840000000000001, 0.9840000000000001, 0.9840000000000001, 0.9840000000000001, 0.9840000000000001, 0.9846666666666668, 0.9846666666666668, 0.9846666666666668, 0.9853333333333332, 0.9853333333333332, 0.9853333333333332, 0.9866666666666668]",0.2793333333333333,0.9866666666666668,0.9840000000000001
105,gaussian,15.0,knn,0.2,RF,,False,0.1,spiral_hard,0.3799896240234375,0.1,,,20,0.8986000000000001,0.01581686863235996,"[0.8726666666666667, 0.8740000000000001, 0.88, 0.8813333333333333, 0.8833333333333333, 0.888, 0.8893333333333333, 0.8906666666666667, 0.8906666666666667, 0.9, 0.9006666666666666, 0.904, 0.9066666666666666, 0.9079999999999999, 0.9093333333333332, 0.91, 0.9173333333333332, 0.9173333333333332, 0.9186666666666666, 0.93]",0.8726666666666667,0.93,0.9003333333333333
106,gaussian,15.0,knn,0.2,LDST,,False,0.25,spiral_hard,27.885989665985107,0.01,99.0,2.0,20,0.7252333333333332,0.2776621668302848,"[0.11866666666666667, 0.4193333333333333, 0.43466666666666665, 0.44733333333333336, 0.4626666666666666, 0.4633333333333333, 0.4646666666666667, 0.4786666666666667, 0.6206666666666667, 0.8533333333333334, 0.9033333333333332, 0.972, 0.9813333333333332, 0.9826666666666668, 0.9826666666666668, 0.9833333333333332, 0.9833333333333332, 0.9833333333333332, 0.9840000000000001, 0.9853333333333332]",0.11866666666666667,0.9853333333333332,0.8783333333333333
107,gaussian,15.0,knn,0.2,RF,,False,0.2,spiral_hard,0.49607968330383295,0.1,,,20,0.8181666666666667,0.023163069265055927,"[0.7766666666666666, 0.78, 0.7833333333333333, 0.7906666666666666, 0.794, 0.8, 0.8146666666666667, 0.8166666666666667, 0.8206666666666667, 0.8220000000000001, 0.8233333333333334, 0.8273333333333334, 0.8293333333333334, 0.83, 0.8320000000000001, 0.8320000000000001, 0.8353333333333334, 0.8413333333333334, 0.8533333333333334, 0.8606666666666667]",0.7766666666666666,0.8606666666666667,0.8226666666666667
108,gaussian,15.0,knn,0.2,LGC,0.9990000000000001,False,0.3,spiral_hard,3.348227500915528,0.1,,,20,0.7298666666666668,0.09445671554268184,"[0.6046666666666667, 0.6073333333333333, 0.6253333333333333, 0.6453333333333333, 0.6459999999999999, 0.6486666666666666, 0.6646666666666666, 0.6653333333333333, 0.6659999999999999, 0.6793333333333333, 0.732, 0.7546666666666667, 0.7826666666666666, 0.79, 0.7966666666666666, 0.8173333333333334, 0.82, 0.8613333333333333, 0.8640000000000001, 0.9259999999999999]",0.6046666666666667,0.9259999999999999,0.7056666666666667
109,gaussian,15.0,knn,0.2,LGC,0.2,False,0.25,spiral_hard,2.508655309677124,0.1,,,20,0.7727333333333333,0.02400731370043536,"[0.7286666666666667, 0.7346666666666667, 0.7453333333333333, 0.7473333333333333, 0.7473333333333333, 0.7526666666666667, 0.7559999999999999, 0.7673333333333333, 0.7673333333333333, 0.7706666666666667, 0.7713333333333333, 0.7879999999999999, 0.7886666666666666, 0.79, 0.7946666666666666, 0.7966666666666666, 0.7973333333333333, 0.7993333333333333, 0.802, 0.8093333333333333]",0.7286666666666667,0.8093333333333333,0.771
110,gaussian,15.0,knn,0.2,GTAM,,False,0.4,spiral_hard,5.053398847579956,0.01,99.0,0.0,20,0.6695999999999999,0.3254584732001577,"[0.02, 0.02466666666666667, 0.10266666666666667, 0.4606666666666666, 0.4773333333333333, 0.502, 0.5246666666666666, 0.5473333333333333, 0.5913333333333334, 0.652, 0.8220000000000001, 0.9006666666666666, 0.902, 0.9733333333333334, 0.9806666666666668, 0.9813333333333332, 0.9813333333333332, 0.982, 0.9826666666666668, 0.9833333333333332]",0.02,0.9833333333333332,0.7370000000000001
111,gaussian,15.0,knn,0.2,LDST,,False,0.3,spiral_hard,30.824100017547607,0.01,99.0,2.0,20,0.6873333333333332,0.3145535107276838,"[0.018666666666666668, 0.09866666666666668, 0.39066666666666666, 0.4233333333333333, 0.4706666666666667, 0.4953333333333334, 0.5066666666666667, 0.516, 0.536, 0.5379999999999999, 0.8933333333333333, 0.9833333333333332, 0.9833333333333332, 0.9833333333333332, 0.9840000000000001, 0.9846666666666668, 0.9846666666666668, 0.9853333333333332, 0.9853333333333332, 0.9853333333333332]",0.018666666666666668,0.9853333333333332,0.7156666666666667
112,gaussian,15.0,knn,0.2,LGC,0.9990000000000001,False,0.15,spiral_hard,2.367075204849243,0.01,,,20,0.5867666666666668,0.047653972668719985,"[0.5066666666666667, 0.5086666666666667, 0.5426666666666666, 0.544, 0.5546666666666666, 0.5579999999999999, 0.5666666666666667, 0.568, 0.5693333333333334, 0.5706666666666667, 0.5820000000000001, 0.5846666666666667, 0.588, 0.6126666666666667, 0.6133333333333333, 0.628, 0.6366666666666667, 0.6413333333333333, 0.672, 0.6873333333333334]",0.5066666666666667,0.6873333333333334,0.5763333333333334
113,gaussian,15.0,knn,0.2,LDST,,False,0.4,spiral_hard,32.946187019348145,0.1,99.0,2.0,20,0.5923666666666667,0.32761545717163254,"[0.02333333333333333, 0.04466666666666667, 0.11599999999999999, 0.12133333333333332, 0.3033333333333333, 0.414, 0.48200000000000004, 0.4973333333333334, 0.5133333333333333, 0.5266666666666666, 0.7066666666666667, 0.7446666666666667, 0.7786666666666666, 0.8866666666666667, 0.8906666666666667, 0.8913333333333333, 0.9633333333333334, 0.9786666666666668, 0.982, 0.9826666666666668]",0.02333333333333333,0.9826666666666668,0.6166666666666667
