,aff_sigma,corruption_level,can_plot,aff_k,algorithm,labeled_percent,aff_dist_func,aff_mask_func,dataset,elapsed_time,experiments,mean_acc,sd_acc,each_acc,min_acc,max_acc,median_acc
15,0.2,0.0,False,15.0,LP,0.05,gaussian,knn,spiral_hard,2.3070883750915527,20,0.973733333333333,0.017372263973229083,"[0.9526666666666668, 0.9526666666666668, 0.9526666666666668, 0.9526666666666668, 0.9526666666666668, 0.9526666666666668, 0.9526666666666668, 0.9526666666666668, 0.9833333333333332, 0.9833333333333332, 0.9833333333333332, 0.9833333333333332, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99]",0.9526666666666668,0.99,0.9833333333333332
16,0.2,0.1,False,15.0,LP,0.05,gaussian,knn,spiral_hard,2.265864610671997,20,0.9090666666666667,0.03481149235525534,"[0.8666666666666667, 0.8666666666666667, 0.8666666666666667, 0.8666666666666667, 0.8666666666666667, 0.8666666666666667, 0.8666666666666667, 0.8666666666666667, 0.934, 0.934, 0.934, 0.934, 0.934, 0.934, 0.934, 0.934, 0.9440000000000001, 0.9440000000000001, 0.9440000000000001, 0.9440000000000001]",0.8666666666666667,0.9440000000000001,0.934
17,0.2,0.25,False,15.0,LP,0.01,gaussian,knn,spiral,3.648601531982422,20,0.8194666666666665,0.04647465258970029,"[0.7653333333333333, 0.7653333333333333, 0.7653333333333333, 0.7653333333333333, 0.7653333333333333, 0.7653333333333333, 0.7653333333333333, 0.7653333333333333, 0.8293333333333334, 0.8293333333333334, 0.8293333333333334, 0.8293333333333334, 0.8686666666666667, 0.8686666666666667, 0.8686666666666667, 0.8686666666666667, 0.8686666666666667, 0.8686666666666667, 0.8686666666666667, 0.8686666666666667]",0.7653333333333333,0.8686666666666667,0.8293333333333334
18,0.2,0.3,False,15.0,LP,0.05,gaussian,knn,spiral,2.6442701816558842,20,0.8246666666666667,0.034097898273451804,"[0.7926666666666666, 0.7926666666666666, 0.7926666666666666, 0.7926666666666666, 0.7926666666666666, 0.7926666666666666, 0.7926666666666666, 0.7926666666666666, 0.8059999999999999, 0.8059999999999999, 0.8059999999999999, 0.8059999999999999, 0.866, 0.866, 0.866, 0.866, 0.866, 0.866, 0.866, 0.866]",0.7926666666666666,0.866,0.8059999999999999
19,0.2,0.3,False,15.0,LP,0.05,gaussian,knn,spiral_hard,2.758859157562256,20,0.788,0.0576009259184839,"[0.72, 0.72, 0.72, 0.72, 0.72, 0.72, 0.72, 0.72, 0.8053333333333333, 0.8053333333333333, 0.8053333333333333, 0.8053333333333333, 0.8473333333333334, 0.8473333333333334, 0.8473333333333334, 0.8473333333333334, 0.8473333333333334, 0.8473333333333334, 0.8473333333333334, 0.8473333333333334]",0.72,0.8473333333333334,0.8053333333333333
20,0.2,0.3,False,15.0,LP,0.1,gaussian,knn,spiral_hard,6.0520734786987305,20,0.8231999999999999,0.0358797993305425,"[0.78, 0.78, 0.78, 0.78, 0.78, 0.78, 0.78, 0.78, 0.84, 0.84, 0.84, 0.84, 0.858, 0.858, 0.858, 0.858, 0.858, 0.858, 0.858, 0.858]",0.78,0.858,0.84
21,0.2,0.4,False,15.0,LP,0.01,gaussian,knn,spiral_hard,3.2101588249206543,20,0.5501333333333334,0.025250390536033736,"[0.5133333333333333, 0.5133333333333333, 0.5133333333333333, 0.5133333333333333, 0.54, 0.54, 0.54, 0.54, 0.54, 0.54, 0.54, 0.54, 0.5786666666666667, 0.5786666666666667, 0.5786666666666667, 0.5786666666666667, 0.5786666666666667, 0.5786666666666667, 0.5786666666666667, 0.5786666666666667]",0.5133333333333333,0.5786666666666667,0.54
22,0.2,0.15,False,15.0,LP,0.01,gaussian,knn,spiral,1.971562623977661,20,0.8675999999999998,0.02885550207499425,"[0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.884, 0.884, 0.884, 0.884, 0.884, 0.884, 0.884, 0.884, 0.9033333333333332, 0.9033333333333332, 0.9033333333333332, 0.9033333333333332]",0.8333333333333334,0.9033333333333332,0.884
23,0.2,0.1,False,15.0,LP,0.5,gaussian,knn,spiral,1.1428365707397459,20,0.949333333333333,3.3306690738754696e-16,"[0.9493333333333334, 0.9493333333333334, 0.9493333333333334, 0.9493333333333334, 0.9493333333333334, 0.9493333333333334, 0.9493333333333334, 0.9493333333333334, 0.9493333333333334, 0.9493333333333334, 0.9493333333333334, 0.9493333333333334, 0.9493333333333334, 0.9493333333333334, 0.9493333333333334, 0.9493333333333334, 0.9493333333333334, 0.9493333333333334, 0.9493333333333334, 0.9493333333333334]",0.9493333333333334,0.9493333333333334,0.9493333333333334
24,0.2,0.1,False,15.0,LP,0.1,gaussian,knn,spiral,4.185705900192262,20,0.9893333333333334,2.220446049250313e-16,"[0.9893333333333332, 0.9893333333333332, 0.9893333333333332, 0.9893333333333332, 0.9893333333333332, 0.9893333333333332, 0.9893333333333332, 0.9893333333333332, 0.9893333333333332, 0.9893333333333332, 0.9893333333333332, 0.9893333333333332, 0.9893333333333332, 0.9893333333333332, 0.9893333333333332, 0.9893333333333332, 0.9893333333333332, 0.9893333333333332, 0.9893333333333332, 0.9893333333333332]",0.9893333333333332,0.9893333333333332,0.9893333333333332
25,0.2,0.1,False,15.0,LP,0.1,gaussian,knn,spiral_hard,2.8387236595153813,20,0.9638666666666668,0.008362880949635637,"[0.956, 0.956, 0.956, 0.956, 0.956, 0.956, 0.956, 0.956, 0.9593333333333334, 0.9593333333333334, 0.9593333333333334, 0.9593333333333334, 0.9740000000000001, 0.9740000000000001, 0.9740000000000001, 0.9740000000000001, 0.9740000000000001, 0.9740000000000001, 0.9740000000000001, 0.9740000000000001]",0.956,0.9740000000000001,0.9593333333333334
26,0.2,0.2,False,15.0,LP,0.01,gaussian,knn,spiral_hard,4.455970048904419,20,0.6700000000000002,0.03108411527166602,"[0.6326666666666667, 0.6326666666666667, 0.6326666666666667, 0.6326666666666667, 0.6326666666666667, 0.6326666666666667, 0.6326666666666667, 0.6326666666666667, 0.6893333333333334, 0.6893333333333334, 0.6893333333333334, 0.6893333333333334, 0.6893333333333334, 0.6893333333333334, 0.6893333333333334, 0.6893333333333334, 0.706, 0.706, 0.706, 0.706]",0.6326666666666667,0.706,0.6893333333333334
27,0.2,0.2,False,15.0,LP,0.5,gaussian,knn,spiral_hard,1.5709478855133057,20,0.8829333333333332,0.003255081497528966,"[0.8806666666666667, 0.8806666666666667, 0.8806666666666667, 0.8806666666666667, 0.8806666666666667, 0.8806666666666667, 0.8806666666666667, 0.8806666666666667, 0.882, 0.882, 0.882, 0.882, 0.882, 0.882, 0.882, 0.882, 0.8893333333333333, 0.8893333333333333, 0.8893333333333333, 0.8893333333333333]",0.8806666666666667,0.8893333333333333,0.882
28,0.2,0.4,False,15.0,LP,0.5,gaussian,knn,spiral,1.3536686897277832,20,0.6861333333333334,0.016096376403816306,"[0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6766666666666666, 0.6766666666666666, 0.6766666666666666, 0.6766666666666666, 0.6766666666666666, 0.6766666666666666, 0.6766666666666666, 0.6766666666666666, 0.7053333333333334, 0.7053333333333334, 0.7053333333333334, 0.7053333333333334, 0.7053333333333334, 0.7053333333333334, 0.7053333333333334, 0.7053333333333334]",0.6666666666666666,0.7053333333333334,0.6766666666666666
29,0.2,0.15,False,15.0,LP,0.5,gaussian,knn,spiral_hard,1.3804545402526855,20,0.9174666666666669,0.0020827332469085047,"[0.9153333333333332, 0.9153333333333332, 0.9153333333333332, 0.9153333333333332, 0.9159999999999999, 0.9159999999999999, 0.9159999999999999, 0.9159999999999999, 0.9159999999999999, 0.9159999999999999, 0.9159999999999999, 0.9159999999999999, 0.92, 0.92, 0.92, 0.92, 0.92, 0.92, 0.92, 0.92]",0.9153333333333332,0.92,0.9159999999999999
30,0.2,0.25,False,15.0,LP,0.1,gaussian,knn,spiral,1.6111040115356443,20,0.9120000000000001,0.02615169423022365,"[0.8846666666666667, 0.8846666666666667, 0.8846666666666667, 0.8846666666666667, 0.8846666666666667, 0.8846666666666667, 0.8846666666666667, 0.8846666666666667, 0.9053333333333332, 0.9053333333333332, 0.9053333333333332, 0.9053333333333332, 0.9426666666666668, 0.9426666666666668, 0.9426666666666668, 0.9426666666666668, 0.9426666666666668, 0.9426666666666668, 0.9426666666666668, 0.9426666666666668]",0.8846666666666667,0.9426666666666668,0.9053333333333332
31,0.2,0.15,False,15.0,LP,0.5,gaussian,knn,spiral,1.0077860355377195,20,0.9250666666666667,0.0005333333333332746,"[0.924, 0.924, 0.924, 0.924, 0.9253333333333332, 0.9253333333333332, 0.9253333333333332, 0.9253333333333332, 0.9253333333333332, 0.9253333333333332, 0.9253333333333332, 0.9253333333333332, 0.9253333333333332, 0.9253333333333332, 0.9253333333333332, 0.9253333333333332, 0.9253333333333332, 0.9253333333333332, 0.9253333333333332, 0.9253333333333332]",0.924,0.9253333333333332,0.9253333333333332
32,0.2,0.2,False,15.0,LP,0.5,gaussian,knn,spiral,1.2420353889465332,20,0.8968,0.0015434449203720212,"[0.8953333333333333, 0.8953333333333333, 0.8953333333333333, 0.8953333333333333, 0.8953333333333333, 0.8953333333333333, 0.8953333333333333, 0.8953333333333333, 0.8959999999999999, 0.8959999999999999, 0.8959999999999999, 0.8959999999999999, 0.8986666666666666, 0.8986666666666666, 0.8986666666666666, 0.8986666666666666, 0.8986666666666666, 0.8986666666666666, 0.8986666666666666, 0.8986666666666666]",0.8953333333333333,0.8986666666666666,0.8959999999999999
33,0.2,0.35,False,15.0,LP,0.01,gaussian,knn,spiral,3.48249888420105,20,0.6565333333333334,0.026684660595763837,"[0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.66, 0.66, 0.66, 0.66, 0.66, 0.66, 0.66, 0.66, 0.7026666666666667, 0.7026666666666667, 0.7026666666666667, 0.7026666666666667]",0.63,0.7026666666666667,0.66
34,0.2,0.4,False,15.0,LP,0.5,gaussian,knn,spiral_hard,1.7631442546844482,20,0.6912,0.008277412370756682,"[0.684, 0.684, 0.684, 0.684, 0.6846666666666666, 0.6846666666666666, 0.6846666666666666, 0.6846666666666666, 0.6846666666666666, 0.6846666666666666, 0.6846666666666666, 0.6846666666666666, 0.7013333333333334, 0.7013333333333334, 0.7013333333333334, 0.7013333333333334, 0.7013333333333334, 0.7013333333333334, 0.7013333333333334, 0.7013333333333334]",0.684,0.7013333333333334,0.6846666666666666
35,0.2,0.3,False,15.0,LP,0.5,gaussian,knn,spiral_hard,1.6541855335235596,20,0.7916,0.003414999593297507,"[0.7886666666666666, 0.7886666666666666, 0.7886666666666666, 0.7886666666666666, 0.7886666666666666, 0.7886666666666666, 0.7886666666666666, 0.7886666666666666, 0.7913333333333333, 0.7913333333333333, 0.7913333333333333, 0.7913333333333333, 0.7913333333333333, 0.7913333333333333, 0.7913333333333333, 0.7913333333333333, 0.7979999999999999, 0.7979999999999999, 0.7979999999999999, 0.7979999999999999]",0.7886666666666666,0.7979999999999999,0.7913333333333333
36,0.2,0.3,False,15.0,LP,0.01,gaussian,knn,spiral,3.10805082321167,20,0.8094666666666667,0.07880259442993541,"[0.7273333333333334, 0.7273333333333334, 0.7273333333333334, 0.7273333333333334, 0.7273333333333334, 0.7273333333333334, 0.7273333333333334, 0.7273333333333334, 0.7886666666666666, 0.7886666666666666, 0.7886666666666666, 0.7886666666666666, 0.902, 0.902, 0.902, 0.902, 0.902, 0.902, 0.902, 0.902]",0.7273333333333334,0.902,0.7886666666666666
37,0.2,0.0,False,15.0,LP,0.1,gaussian,knn,spiral,2.047879934310913,20,1.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,1.0,1.0
38,0.2,0.1,False,15.0,LP,0.05,gaussian,knn,spiral,3.0623040199279785,20,0.9750666666666667,0.010229369482035545,"[0.9566666666666668, 0.9566666666666668, 0.9566666666666668, 0.9566666666666668, 0.9746666666666668, 0.9746666666666668, 0.9746666666666668, 0.9746666666666668, 0.9746666666666668, 0.9746666666666668, 0.9746666666666668, 0.9746666666666668, 0.9846666666666668, 0.9846666666666668, 0.9846666666666668, 0.9846666666666668, 0.9846666666666668, 0.9846666666666668, 0.9846666666666668, 0.9846666666666668]",0.9566666666666668,0.9846666666666668,0.9746666666666668
39,0.2,0.4,False,15.0,LP,0.1,gaussian,knn,spiral_hard,1.1900627613067627,20,0.6477333333333334,0.028855502074994318,"[0.6313333333333333, 0.6313333333333333, 0.6313333333333333, 0.6313333333333333, 0.6313333333333333, 0.6313333333333333, 0.6313333333333333, 0.6313333333333333, 0.6353333333333333, 0.6353333333333333, 0.6353333333333333, 0.6353333333333333, 0.6353333333333333, 0.6353333333333333, 0.6353333333333333, 0.6353333333333333, 0.7053333333333334, 0.7053333333333334, 0.7053333333333334, 0.7053333333333334]",0.6313333333333333,0.7053333333333334,0.6353333333333333
