,labeled_percent,can_plot,corruption_level,aff_dist_func,aff_sigma,algorithm,dataset,aff_k,aff_mask_func,elapsed_time,experiments,mean_acc,sd_acc
77,0.01,False,0.15,gaussian,0.2,RF,gaussians_sd=3,15.0,knn,0.08651447296142578,20,0.8991999999999999,0.05728577484856081
78,0.5,False,0.35,gaussian,0.2,RF,spiral,15.0,knn,0.1486673355102539,20,0.6912333333333333,0.00772377282593596
79,0.05,False,0.0,gaussian,0.2,RF,gaussians_sd=3,15.0,knn,0.08389949798583984,20,0.9939,0.00264386081328046
80,0.05,False,0.0,gaussian,0.2,RF,gaussians_sd=2,15.0,knn,0.0895087718963623,20,0.9960000000000001,0.002701851217221276
81,0.5,False,0.1,gaussian,0.2,RF,spiral,15.0,knn,0.1038649082183838,20,0.9338999999999998,0.00293844252018727
82,0.5,False,0.0,gaussian,0.2,RF,spiral_hard,15.0,knn,0.09226131439208984,20,0.9856666666666666,0.0042190046219458
83,0.1,False,0.4,gaussian,0.2,RF,spiral,15.0,knn,0.09561681747436523,20,0.6251666666666666,0.027237127438683974
84,0.5,False,0.0,gaussian,0.2,RF,spiral,15.0,knn,0.12429547309875487,20,0.9946666666666666,0.0020110804171997784
85,0.1,False,0.4,gaussian,0.2,RF,spiral_hard,15.0,knn,0.06858706474304199,20,0.6147000000000001,0.023487561720101035
86,0.1,False,0.0,gaussian,0.2,RF,gaussians_sd=1,15.0,knn,0.057001590728759766,20,0.9908499999999998,0.006381810088054966
87,0.01,False,0.3,gaussian,0.2,RF,gaussians_sd=2,15.0,knn,0.059940338134765625,20,0.6615,0.12129983511942627
88,0.05,False,0.3,gaussian,0.2,RF,gaussians_sd=2,15.0,knn,0.06472635269165039,20,0.75465,0.04586204858049845
89,0.5,False,0.25,gaussian,0.2,RF,gaussians_sd=1,15.0,knn,0.1244959831237793,20,0.8134499999999999,0.007235157220130039
90,0.01,False,0.4,gaussian,0.2,RF,gaussians_sd=3,15.0,knn,0.0867776870727539,20,0.6426499999999999,0.10060629950455388
91,0.01,False,0.35,gaussian,0.2,RF,spiral_hard,15.0,knn,0.06160569190979004,20,0.5603666666666667,0.047109553171304865
92,0.1,False,0.0,gaussian,0.2,RF,spiral_hard,15.0,knn,0.06062006950378417,20,0.9442333333333334,0.009982818573262161
93,0.1,False,0.15,gaussian,0.2,RF,gaussians_sd=3,15.0,knn,0.06103110313415527,20,0.9262,0.02123346415448971
94,0.1,False,0.25,gaussian,0.2,RF,spiral,15.0,knn,0.06959128379821777,20,0.7963666666666666,0.026606995738380972
95,0.05,False,0.25,gaussian,0.2,RF,gaussians_sd=2,15.0,knn,0.05908060073852539,20,0.8347,0.036697547601985604
96,0.05,False,0.1,gaussian,0.2,RF,gaussians_sd=1,15.0,knn,0.05838632583618164,20,0.94855,0.016764471360588725
97,0.01,False,0.1,gaussian,0.2,RF,spiral,15.0,knn,0.0828099250793457,20,0.6162333333333334,0.060266178095364754
98,0.5,False,0.25,gaussian,0.2,RF,gaussians_sd=3,15.0,knn,0.0768277645111084,20,0.81465,0.01232994322776874
99,0.5,False,0.0,gaussian,0.2,RF,gaussians_sd=3,15.0,knn,0.0626978874206543,20,0.9984499999999998,0.001395528573695305
100,0.5,False,0.0,gaussian,0.2,RF,gaussians_sd=1,15.0,knn,0.06857132911682129,20,0.9990500000000001,0.0012835497652993447
101,0.01,False,0.1,gaussian,0.2,RF,spiral_hard,15.0,knn,0.08870053291320801,20,0.6309,0.04685830888018805
102,0.1,False,0.25,gaussian,0.2,RF,gaussians_sd=2,15.0,knn,0.09271836280822754,20,0.8479000000000001,0.02380315105190907
