,aff_dist_func,aff_k,aff_mask_func,aff_sigma,algorithm,alpha,can_plot,corruption_level,dataset,elapsed_time,labeled_percent,mu,tuning_iter,experiments,mean_acc,sd_acc
125,gaussian,15.0,knn,0.2,LGC,0.2,False,0.3,gaussians_sd=2,7.12145733833313,0.01,,,20,0.61305,0.06403161328593869
126,gaussian,15.0,knn,0.2,LGC,0.99,False,0.15,gaussians_sd=0.4,6.400822401046753,0.1,,,20,1.0,0.0
127,gaussian,15.0,knn,0.2,LDST,,False,0.3,gaussians_sd=0.4,4.06072998046875,0.05,99.0,0.1,20,0.9045500000000001,0.22385318291237227
128,gaussian,15.0,knn,0.2,LGC,0.9990000000000001,False,0.35,gaussians_sd=1,5.7853238582611075,0.01,,,20,0.9688000000000001,0.07523204104635207
129,gaussian,15.0,knn,0.2,LGC,0.99,False,0.3,gaussians_sd=1,8.560450315475464,0.1,,,20,0.9992500000000002,0.0012196310917650431
130,gaussian,15.0,knn,0.2,LGC,0.4,False,0.0,gaussians_sd=1,1.1580092906951904,0.01,,,20,0.98385,0.022532809412055127
131,gaussian,15.0,knn,0.2,LDST,,False,0.0,gaussians_sd=3,8.942732810974121,0.05,99.0,0.1,20,0.9989999999999999,2.220446049250313e-16
132,gaussian,15.0,knn,0.2,GTAM,,False,0.0,gaussians_sd=1,8.905530691146849,0.01,99.0,0.0,20,1.0,0.0
133,gaussian,15.0,knn,0.2,LGC,0.4,False,0.0,gaussians_sd=1,0.8948056697845459,0.1,,,20,0.9991000000000001,0.0015779733838059498
134,gaussian,15.0,knn,0.2,LDST,,False,0.1,gaussians_sd=2,21.272804021835327,0.1,99.0,1.0,20,0.9960500000000001,0.001774119499921018
135,gaussian,15.0,knn,0.2,LGC,0.0001,False,0.1,gaussians_sd=1,7.389850854873657,0.05,,,20,0.9036500000000001,0.022123008384937165
136,gaussian,15.0,knn,0.2,LGC,0.99,False,0.35,gaussians_sd=1,7.6889214515686035,0.1,,,20,0.9975499999999998,0.0024591665254715947
137,gaussian,15.0,knn,0.2,LGC,0.9990000000000001,False,0.15,gaussians_sd=0.4,5.1215434074401855,0.05,,,20,1.0,0.0
138,gaussian,15.0,knn,0.2,GTAM,,False,0.15,gaussians_sd=0.4,7.988152027130128,0.01,99.0,0.0,20,0.8894,0.26355576260063074
139,gaussian,15.0,knn,0.2,LGC,0.9,False,0.2,gaussians_sd=0.4,0.6227626800537109,0.01,,,20,0.8426,0.06685985342490663
140,gaussian,15.0,knn,0.2,LGC,0.9,False,0.3,gaussians_sd=1,0.6449837684631348,0.05,,,20,0.83865,0.03888865515802776
141,gaussian,15.0,knn,0.2,GTAM,,False,0.3,gaussians_sd=1,8.203859329223633,0.05,99.0,0.0,20,0.9456499999999999,0.1715226734283255
142,gaussian,15.0,knn,0.2,GTAM,,False,0.1,gaussians_sd=3,17.91613507270813,0.1,99.0,0.0,20,0.9889500000000002,0.00038405728739344307
143,gaussian,15.0,knn,0.2,LGC,0.2,False,0.2,gaussians_sd=3,7.721452474594116,0.05,,,20,0.8248499999999999,0.03267916002592479
144,gaussian,15.0,knn,0.2,LDST,,False,0.3,gaussians_sd=1,10.815711259841919,0.1,99.0,1.0,20,0.9567,0.09114170285879017
145,gaussian,15.0,knn,0.2,LGC,0.99,False,0.25,gaussians_sd=3,5.4729135036468515,0.01,,,20,0.9897500000000001,0.009878638570167447
146,gaussian,15.0,knn,0.2,LDST,,False,0.35,gaussians_sd=1,3.8481061458587646,0.01,99.0,1.0,20,0.4506,0.4126379042211222
147,gaussian,15.0,knn,0.2,LGC,0.9,False,0.15,gaussians_sd=0.4,0.5467913150787354,0.1,,,20,0.9760500000000001,0.00992207135632477
148,gaussian,15.0,knn,0.2,LDST,,False,0.15,gaussians_sd=1,25.95146632194519,0.01,99.0,0.75,20,0.8608500000000001,0.30379372524790565
149,gaussian,15.0,knn,0.2,LGC,0.2,False,0.3,gaussians_sd=3,6.0377724170684814,0.01,,,20,0.6300000000000001,0.07230421841082303
150,gaussian,15.0,knn,0.2,LGC,0.4,False,0.4,gaussians_sd=0.4,1.2453889846801758,0.1,,,20,0.6340999999999999,0.022156037551872867
151,gaussian,15.0,knn,0.2,LDST,,False,0.0,gaussians_sd=3,20.503184080123898,0.1,99.0,0.25,20,0.9990999999999998,0.0002999999999999669
152,gaussian,15.0,knn,0.2,LGC,0.4,False,0.1,gaussians_sd=2,1.5970118045806885,0.05,,,20,0.89695,0.03917330085657832
153,gaussian,15.0,knn,0.2,LGC,0.99,False,0.35,gaussians_sd=0.4,8.342949390411379,0.01,,,20,0.77695,0.08054345100627361
154,gaussian,15.0,knn,0.2,LDST,,False,0.4,gaussians_sd=3,22.782433271408078,0.01,99.0,0.75,20,0.6393,0.38212669365015584
155,gaussian,15.0,knn,0.2,LDST,,False,0.2,gaussians_sd=2,8.117966651916504,0.05,99.0,0.25,20,0.9840000000000002,0.0468134596029817
156,gaussian,15.0,knn,0.2,LDST,,False,0.25,gaussians_sd=2,19.28292441368103,0.1,99.0,0.1,20,0.98315,0.0018241436346954792
157,gaussian,15.0,knn,0.2,LDST,,False,0.2,gaussians_sd=1,7.395451068878174,0.01,99.0,1.0,20,0.9108999999999998,0.2242569731357311
158,gaussian,15.0,knn,0.2,LGC,0.2,False,0.0,gaussians_sd=2,6.0428903102874765,0.1,,,20,1.0,0.0
159,gaussian,15.0,knn,0.2,LGC,0.4,False,0.4,gaussians_sd=2,6.948903322219849,0.1,,,20,0.6316499999999999,0.022795339435946107
160,gaussian,15.0,knn,0.2,LDST,,False,0.2,gaussians_sd=2,23.536584854125977,0.05,99.0,0.75,20,0.9947000000000001,0.001099999999999969
161,gaussian,15.0,knn,0.2,GTAM,,False,0.3,gaussians_sd=2,23.99837374687195,0.1,99.0,0.0,20,0.93605,0.11228734345419342
162,gaussian,15.0,knn,0.2,LDST,,False,0.1,gaussians_sd=1,9.584537267684935,0.05,99.0,0.25,20,0.9970500000000001,0.0007399324293474377
163,gaussian,15.0,knn,0.2,LDST,,False,0.1,gaussians_sd=2,22.017280101776123,0.01,99.0,1.0,20,0.8654999999999999,0.263764193930867
164,gaussian,15.0,knn,0.2,LGC,0.0001,False,0.0,gaussians_sd=3,8.675839424133299,0.05,,,20,0.9983000000000001,0.001519868415357088
165,gaussian,15.0,knn,0.2,LGC,0.9990000000000001,False,0.0,gaussians_sd=2,7.021350622177124,0.05,,,20,1.0,0.0
166,gaussian,15.0,knn,0.2,LGC,0.4,False,0.3,gaussians_sd=1,0.4399707317352295,0.05,,,20,0.73565,0.027190577412037443
167,gaussian,15.0,knn,0.2,LGC,0.9,False,0.2,gaussians_sd=2,1.373438835144043,0.05,,,20,0.9214499999999999,0.02858404275115751
168,gaussian,15.0,knn,0.2,LDST,,False,0.4,gaussians_sd=1,19.69398021697998,0.05,99.0,0.5,20,0.6809,0.3450520105723194
169,gaussian,15.0,knn,0.2,LDST,,False,0.1,gaussians_sd=0.4,20.757671117782593,0.01,99.0,0.75,20,0.8595,0.27180682478554513
170,gaussian,15.0,knn,0.2,LDST,,False,0.1,gaussians_sd=2,9.927877664566038,0.05,99.0,1.0,20,0.99685,0.0009630680142129122
171,gaussian,15.0,knn,0.2,LDST,,False,0.3,gaussians_sd=0.4,24.38826322555542,0.05,99.0,0.5,20,0.8522500000000001,0.2622635840142508
172,gaussian,15.0,knn,0.2,LGC,0.9990000000000001,False,0.15,gaussians_sd=0.4,7.7695581912994385,0.1,,,20,1.0,0.0
173,gaussian,15.0,knn,0.2,LGC,0.99,False,0.3,gaussians_sd=2,7.028963804244995,0.01,,,20,0.7484,0.08696344059430952
174,gaussian,15.0,knn,0.2,LDST,,False,0.1,gaussians_sd=3,21.01105117797852,0.01,99.0,0.25,20,0.8986999999999998,0.2679869586379158
