,aff_dist_func,aff_k,aff_mask_func,aff_sigma,algorithm,alpha,can_plot,corruption_level,dataset,elapsed_time,labeled_percent,mu,tuning_iter,experiments,mean_acc,sd_acc,each_acc,min_acc,max_acc,median_acc
339,gaussian,15.0,knn,0.2,LGC,0.2,False,0.3,spiral_hard,2.894627809524536,0.05,,,20,0.6986,0.027757601561454192,"[0.6566666666666666, 0.66, 0.67, 0.6733333333333333, 0.6746666666666666, 0.6773333333333333, 0.68, 0.6826666666666666, 0.6920000000000001, 0.6946666666666667, 0.6946666666666667, 0.696, 0.6993333333333334, 0.7133333333333334, 0.7146666666666667, 0.7273333333333334, 0.7286666666666667, 0.7353333333333333, 0.7473333333333333, 0.754]",0.6566666666666666,0.754,0.6946666666666667
340,gaussian,15.0,knn,0.2,LGC,0.9,False,0.15,spiral_hard,1.3488366603851318,0.05,,,20,0.8711999999999998,0.03598184727516546,"[0.7686666666666667, 0.8366666666666667, 0.84, 0.8420000000000001, 0.8433333333333334, 0.8466666666666667, 0.8553333333333333, 0.8566666666666667, 0.8673333333333333, 0.8726666666666667, 0.8746666666666667, 0.8786666666666667, 0.8813333333333333, 0.8953333333333333, 0.9, 0.9026666666666666, 0.9079999999999999, 0.9166666666666666, 0.9173333333333332, 0.92]",0.7686666666666667,0.92,0.8736666666666667
341,gaussian,15.0,knn,0.2,LGC,0.9990000000000001,False,0.35,spiral_hard,5.535388708114624,0.1,,,20,0.6367333333333334,0.06878207130737873,"[0.5553333333333333, 0.5579999999999999, 0.5626666666666666, 0.5660000000000001, 0.5820000000000001, 0.5893333333333334, 0.5906666666666667, 0.5913333333333334, 0.5966666666666667, 0.6166666666666667, 0.6193333333333333, 0.6213333333333333, 0.6573333333333333, 0.6779999999999999, 0.6813333333333333, 0.6866666666666666, 0.7066666666666667, 0.7133333333333334, 0.768, 0.794]",0.5553333333333333,0.794,0.618
342,gaussian,15.0,knn,0.2,GTAM,,False,0.2,spiral_hard,12.50684666633606,0.5,99.0,0.0,20,0.8931333333333333,0.00191020650425258,"[0.89, 0.8906666666666667, 0.8913333333333333, 0.8913333333333333, 0.892, 0.892, 0.892, 0.892, 0.8926666666666667, 0.8926666666666667, 0.8926666666666667, 0.8933333333333333, 0.894, 0.894, 0.894, 0.8946666666666667, 0.8946666666666667, 0.8946666666666667, 0.8953333333333333, 0.8986666666666666]",0.89,0.8986666666666666,0.8926666666666667
343,gaussian,15.0,knn,0.2,LGC,0.9,False,0.4,spiral,1.6018860340118408,0.01,,,20,0.5719000000000001,0.0638847138732472,"[0.46, 0.4726666666666667, 0.4893333333333333, 0.5153333333333333, 0.516, 0.5233333333333333, 0.5233333333333333, 0.524, 0.564, 0.5733333333333334, 0.5853333333333334, 0.5953333333333334, 0.598, 0.6133333333333333, 0.622, 0.63, 0.6466666666666666, 0.6553333333333333, 0.6626666666666666, 0.6679999999999999]",0.46,0.6679999999999999,0.5793333333333334
344,gaussian,15.0,knn,0.2,LDST,,False,0.15,spiral_hard,15.704065799713135,0.01,99.0,0.25,20,0.8902999999999999,0.17077164414634075,"[0.4993333333333334, 0.556, 0.578, 0.58, 0.9033333333333332, 0.9053333333333332, 0.9826666666666668, 0.9833333333333332, 0.9833333333333332, 0.9833333333333332, 0.9840000000000001, 0.9846666666666668, 0.9846666666666668, 0.9846666666666668, 0.9853333333333332, 0.9853333333333332, 0.9853333333333332, 0.9853333333333332, 0.986, 0.986]",0.4993333333333334,0.986,0.9836666666666667
345,gaussian,15.0,knn,0.2,LGC,0.0001,False,0.3,spiral_hard,0.33262181282043457,0.05,,,20,0.7031666666666666,0.03685821180928042,"[0.65, 0.6566666666666666, 0.6579999999999999, 0.6586666666666666, 0.6613333333333333, 0.6833333333333333, 0.684, 0.6873333333333334, 0.6946666666666667, 0.6966666666666667, 0.6993333333333334, 0.706, 0.7073333333333334, 0.7253333333333334, 0.728, 0.7293333333333333, 0.736, 0.7586666666666667, 0.7706666666666667, 0.772]",0.65,0.772,0.698
346,gaussian,15.0,knn,0.2,LDST,,False,0.1,spiral,31.72417235374451,0.1,99.0,2.0,20,0.9922666666666666,0.0009977753031397748,"[0.9906666666666668, 0.9913333333333332, 0.9913333333333332, 0.9913333333333332, 0.9913333333333332, 0.9913333333333332, 0.9913333333333332, 0.992, 0.992, 0.992, 0.992, 0.9926666666666668, 0.9926666666666668, 0.9926666666666668, 0.9926666666666668, 0.9926666666666668, 0.9933333333333332, 0.9933333333333332, 0.9940000000000001, 0.9946666666666668]",0.9906666666666668,0.9946666666666668,0.992
347,gaussian,15.0,knn,0.2,LDST,,False,0.3,spiral_hard,23.76516485214233,0.01,99.0,0.5,20,0.6765666666666665,0.31817900447529357,"[0.018666666666666668, 0.12333333333333335, 0.26666666666666666, 0.3626666666666667, 0.41200000000000003, 0.506, 0.516, 0.524, 0.5613333333333334, 0.622, 0.77, 0.978, 0.9826666666666668, 0.9833333333333332, 0.9833333333333332, 0.9833333333333332, 0.9833333333333332, 0.9833333333333332, 0.9853333333333332, 0.986]",0.018666666666666668,0.986,0.696
348,gaussian,15.0,knn,0.2,LGC,0.9,False,0.0,spiral,1.0673353672027588,0.1,,,20,1.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,1.0,1.0
