,aff_dist_func,aff_k,aff_mask_func,aff_sigma,algorithm,alpha,can_plot,corruption_level,dataset,dataset_sd,elapsed_time,labeled_percent,mu,tuning_iter,experiments,mean_acc,sd_acc
80,gaussian,15.0,knn,0.2,LGC,0.0001,False,0.1,gaussian,0.4,2.2429511547088623,0.1,,,20,0.9141499999999999,0.014290818730919535
81,gaussian,15.0,knn,0.2,LGC,0.9,False,0.0,gaussian,2.0,3.7541797161102295,0.1,,,20,0.6881999999999999,0.023978323544401527
82,gaussian,15.0,knn,0.2,LGC,0.9990000000000001,False,0.4,gaussian,2.0,1.325516939163208,0.1,,,20,0.60085,0.0691803982353383
83,gaussian,15.0,knn,0.2,LGC,0.2,False,0.0,gaussian,1.0,3.320585966110229,0.1,,,20,0.81135,0.017012568883034717
84,gaussian,15.0,knn,0.2,LDST,,False,0.4,gaussian,1.0,7.3406383991241455,0.1,99.0,1.0,20,0.6156,0.23995195352403362
85,gaussian,15.0,knn,0.2,LGC,0.2,False,0.0,gaussian,0.4,0.7521438598632812,0.1,,,20,0.9897499999999999,0.005430239405403794
86,gaussian,15.0,knn,0.2,GTAM,,False,0.1,gaussian,0.4,6.06772255897522,0.1,99.0,0.0,20,0.9835999999999998,0.002853068523537417
87,gaussian,15.0,knn,0.2,GTAM,,False,0.25,gaussian,2.0,6.4957115650177,0.1,99.0,0.0,20,0.61455,0.08513135438838033
88,gaussian,15.0,knn,0.2,LGC,0.9990000000000001,False,0.0,gaussian,2.0,1.92703914642334,0.1,,,20,0.67845,0.018372465811643236
89,gaussian,15.0,knn,0.2,GTAM,,False,0.1,gaussian,2.0,7.102015733718872,0.1,99.0,0.0,20,0.6370500000000001,0.10174992628989958
90,gaussian,15.0,knn,0.2,LGC,0.0001,False,0.15,gaussian,3.0,1.6739461421966553,0.1,,,20,0.56965,0.02474323139769742
91,gaussian,15.0,knn,0.2,GTAM,,False,0.3,gaussian,0.4,5.041814804077148,0.1,99.0,0.0,20,0.9159999999999998,0.10011293622704312
92,gaussian,15.0,knn,0.2,GTAM,,False,0.25,gaussian,1.0,5.055954456329347,0.1,99.0,0.0,20,0.7787,0.096254402496717
93,gaussian,15.0,knn,0.2,LGC,0.2,False,0.0,gaussian,3.0,2.1078927516937256,0.1,,,20,0.6051,0.014201760454253547
94,gaussian,15.0,knn,0.2,GTAM,,False,0.15,gaussian,1.0,4.780137062072754,0.1,99.0,0.0,20,0.81515,0.032554991936721484
95,gaussian,15.0,knn,0.2,LGC,0.2,False,0.35,gaussian,1.0,2.725637197494507,0.1,,,20,0.58235,0.028032614933323645
96,gaussian,15.0,knn,0.2,LGC,0.9990000000000001,False,0.2,gaussian,2.0,1.0904135704040527,0.1,,,20,0.6414500000000001,0.046807558150367135
97,gaussian,15.0,knn,0.2,LDST,,False,0.0,gaussian,0.4,4.637774467468262,0.1,99.0,1.0,20,0.9930000000000001,0.0030659419433511845
98,gaussian,15.0,knn,0.2,LDST,,False,0.3,gaussian,1.0,4.859577894210815,0.1,99.0,2.0,20,0.7426,0.163916259108119
99,gaussian,15.0,knn,0.2,LGC,0.9,False,0.35,gaussian,1.0,1.7492940425872805,0.1,,,20,0.6278500000000001,0.04228389173195864
100,gaussian,15.0,knn,0.2,LDST,,False,0.15,gaussian,1.0,6.1392927169799805,0.1,99.0,2.0,20,0.7797,0.10490762603357298
101,gaussian,15.0,knn,0.2,LGC,0.0001,False,0.4,gaussian,3.0,0.7152111530303955,0.1,,,20,0.5167499999999999,0.022600608398890523
102,gaussian,15.0,knn,0.2,GTAM,,False,0.4,gaussian,1.0,5.259277105331421,0.1,99.0,0.0,20,0.61025,0.2087311368722932
103,gaussian,15.0,knn,0.2,LGC,0.9990000000000001,False,0.25,gaussian,2.0,1.2158763408660889,0.1,,,20,0.634,0.04917621376234653
104,gaussian,15.0,knn,0.2,LGC,0.0001,False,0.3,gaussian,1.0,4.088833808898927,0.1,,,20,0.6342000000000001,0.029775157430314284
105,gaussian,15.0,knn,0.2,LGC,0.0001,False,0.35,gaussian,3.0,0.6953756809234619,0.1,,,20,0.5314499999999999,0.019446015015935784
106,gaussian,15.0,knn,0.2,LGC,0.0001,False,0.15,gaussian,2.0,2.474910259246826,0.1,,,20,0.61185,0.023906641336666274
107,gaussian,15.0,knn,0.2,LGC,0.9,False,0.4,gaussian,0.4,3.221900224685669,0.1,,,20,0.7075,0.04599075994153609
108,gaussian,15.0,knn,0.2,LGC,0.2,False,0.2,gaussian,3.0,2.1847791671752934,0.1,,,20,0.5549,0.02247643210120326
109,gaussian,15.0,knn,0.2,LGC,0.9990000000000001,False,0.35,gaussian,3.0,0.5026180744171143,0.1,,,20,0.5551,0.05212955016111302
110,gaussian,15.0,knn,0.2,GTAM,,False,0.2,gaussian,0.4,5.441187381744385,0.1,99.0,0.0,20,0.9745500000000001,0.0020118399538730683
111,gaussian,15.0,knn,0.2,LGC,0.9990000000000001,False,0.3,gaussian,2.0,2.5029006004333496,0.1,,,20,0.6224000000000001,0.055208151572027825
112,gaussian,15.0,knn,0.2,LGC,0.0001,False,0.1,gaussian,1.0,2.0805842876434326,0.1,,,20,0.75135,0.023216965779360547
113,gaussian,15.0,knn,0.2,LGC,0.9,False,0.3,gaussian,3.0,1.1858453750610352,0.1,,,20,0.5543999999999999,0.028594405047141645
114,gaussian,15.0,knn,0.2,RF,,False,0.4,gaussian,1.0,0.3789021968841553,0.1,,,20,0.6008500000000001,0.031026238895489732
115,gaussian,15.0,knn,0.2,LDST,,False,0.3,gaussian,0.4,4.406518697738648,0.1,99.0,2.0,20,0.9538,0.0725483287195508
116,gaussian,15.0,knn,0.2,LDST,,False,0.1,gaussian,2.0,5.555469989776611,0.1,99.0,2.0,20,0.6318999999999999,0.07491121411377602
117,gaussian,15.0,knn,0.2,LGC,0.9990000000000001,False,0.15,gaussian,1.0,4.088869094848634,0.1,,,20,0.8303500000000001,0.015953918014080425
118,gaussian,15.0,knn,0.2,LDST,,False,0.0,gaussian,2.0,5.947012901306152,0.1,99.0,2.0,20,0.6962500000000001,0.028951468011138924
119,gaussian,15.0,knn,0.2,LGC,0.9,False,0.25,gaussian,1.0,3.461209774017334,0.1,,,20,0.7436,0.040642834546817726
120,gaussian,15.0,knn,0.2,LGC,0.0001,False,0.4,gaussian,0.4,3.607705354690552,0.1,,,20,0.60595,0.026826246476165834
121,gaussian,15.0,knn,0.2,RF,,False,0.15,gaussian,3.0,0.391387939453125,0.1,,,20,0.5688,0.02461422353030864
122,gaussian,15.0,knn,0.2,RF,,False,0.1,gaussian,3.0,0.3583798408508301,0.1,,,20,0.5982000000000001,0.02550215677153601
123,gaussian,15.0,knn,0.2,LGC,0.9,False,0.0,gaussian,3.0,1.842766046524048,0.1,,,20,0.6288500000000001,0.018036837305913708
