,aff_dist_func,aff_k,aff_mask_func,aff_sigma,algorithm,alpha,can_plot,corruption_level,dataset,elapsed_time,labeled_percent,mu,tuning_iter,experiments,mean_acc,sd_acc
144,gaussian,15.0,knn,0.2,LGC,0.9,False,0.35,spiral,2.4916229248046875,0.1,,,20,0.7824,0.03473032616540703
145,gaussian,15.0,knn,0.2,LGC,0.99,False,0.3,spiral,6.67648458480835,0.5,,,20,0.9999,0.0004358898943540677
146,gaussian,15.0,knn,0.2,LGC,0.9,False,0.25,spiral,8.467727422714232,0.1,,,20,0.8783000000000001,0.029898699339975004
147,gaussian,15.0,knn,0.2,LDST,,False,0.25,spiral,40.69972658157349,0.5,99.0,0.75,20,0.9738666666666667,0.008683573253243409
148,gaussian,15.0,knn,0.2,LGC,0.0001,False,0.2,spiral,5.290753364562988,0.5,,,20,0.8875666666666667,0.00463932466349718
149,gaussian,15.0,knn,0.2,LGC,0.0001,False,0.1,spiral,8.027281761169434,0.1,,,20,0.9150666666666666,0.01615398127741613
150,gaussian,15.0,knn,0.2,LGC,0.9990000000000001,False,0.2,spiral_hard,8.550166606903076,0.05,,,20,0.6897,0.0856936338877567
151,gaussian,15.0,knn,0.2,LDST,,False,0.1,spiral,33.578553915023804,0.5,99.0,0.75,20,0.9881333333333334,0.0033439829877291464
152,gaussian,15.0,knn,0.2,GTAM,,False,0.4,spiral,20.98310160636902,0.1,99.0,0.0,20,0.8468000000000002,0.19664176113486737
153,gaussian,15.0,knn,0.2,LGC,0.4,False,0.1,spiral,10.664199352264404,0.5,,,20,0.9486666666666664,0.0018378731669453495
154,gaussian,15.0,knn,0.2,LGC,0.2,False,0.3,spiral,9.425377130508425,0.1,,,20,0.7282333333333334,0.022317183215331316
155,gaussian,15.0,knn,0.2,LDST,,False,0.0,spiral,30.842600107192997,0.5,99.0,0.75,20,1.0,0.0
156,gaussian,15.0,knn,0.2,LDST,,False,0.2,spiral,46.57874870300293,0.1,99.0,1.0,20,0.9969333333333333,0.004859812524961995
157,gaussian,15.0,knn,0.2,LDST,,False,0.3,spiral,41.32140040397643,0.5,99.0,0.75,20,0.9571666666666667,0.02686333726268742
158,gaussian,15.0,knn,0.2,LDST,,False,0.3,spiral,47.82791090011597,0.01,99.0,0.75,20,0.7216333333333333,0.3937379543131023
159,gaussian,15.0,knn,0.2,GTAM,,False,0.1,spiral,42.96844220161438,0.1,99.0,0.0,20,0.9893333333333334,2.220446049250313e-16
160,gaussian,15.0,knn,0.2,GTAM,,False,0.15,spiral,31.244436979293823,0.5,99.0,0.0,20,0.9253333333333333,1.1102230246251565e-16
161,gaussian,15.0,knn,0.2,LGC,0.99,False,0.1,spiral_hard,9.234646797180176,0.01,,,20,0.7025666666666668,0.06505699210862906
162,gaussian,15.0,knn,0.2,LDST,,False,0.3,spiral,11.734771966934204,0.05,99.0,1.0,20,0.9116666666666667,0.211662572138875
163,gaussian,15.0,knn,0.2,LGC,0.9990000000000001,False,0.15,spiral_hard,7.346466541290282,0.1,,,20,0.8523333333333334,0.10044246556556088
164,gaussian,15.0,knn,0.2,LDST,,False,0.1,spiral,19.706498861312863,0.05,99.0,0.1,20,0.9960999999999999,0.0006420453428086653
165,gaussian,15.0,knn,0.2,LGC,0.99,False,0.1,spiral,5.099161386489868,0.05,,,20,0.9955000000000002,0.008625221414227233
166,gaussian,15.0,knn,0.2,LDST,,False,0.1,spiral_hard,36.81067633628845,0.5,99.0,0.75,20,0.9781999999999998,0.0029295430056959365
167,gaussian,15.0,knn,0.2,LDST,,False,0.3,spiral,47.98776364326477,0.01,99.0,1.0,20,0.7216333333333333,0.3937379543131023
168,gaussian,15.0,knn,0.2,LDST,,False,0.3,spiral_hard,49.7715630531311,0.1,99.0,0.75,20,0.9001000000000003,0.19042225301798227
169,gaussian,15.0,knn,0.2,LDST,,False,0.2,spiral_hard,45.19344687461853,0.01,99.0,0.5,20,0.8493666666666666,0.28340293066782335
170,gaussian,15.0,knn,0.2,GTAM,,False,0.0,spiral,33.02859354019165,0.5,99.0,0.0,20,1.0,0.0
171,gaussian,15.0,knn,0.2,LDST,,False,0.2,spiral_hard,45.75008130073547,0.01,99.0,0.75,20,0.8493666666666666,0.28340293066782335
172,gaussian,15.0,knn,0.2,LGC,0.4,False,0.25,spiral_hard,0.20888257026672366,0.01,,,20,0.6228666666666667,0.051885814803063264
173,gaussian,15.0,knn,0.2,LGC,0.9990000000000001,False,0.0,spiral_hard,4.639307737350464,0.01,,,20,0.6438666666666667,0.048401377390869096
174,gaussian,15.0,knn,0.2,LDST,,False,0.0,spiral,46.69536757469177,0.01,99.0,0.5,20,1.0,0.0
175,gaussian,15.0,knn,0.2,LDST,,False,0.35,spiral,9.891103267669678,0.05,99.0,0.1,20,0.7609333333333334,0.35501889777556594
176,gaussian,15.0,knn,0.2,LGC,0.0001,False,0.35,spiral_hard,8.343951463699339,0.5,,,20,0.7249333333333332,0.00973287670161749
177,gaussian,15.0,knn,0.2,LDST,,False,0.3,spiral_hard,15.04882550239563,0.5,99.0,0.1,20,0.8584000000000002,0.009668735410819994
178,gaussian,15.0,knn,0.2,LGC,0.2,False,0.0,spiral_hard,8.025234937667848,0.5,,,20,0.9940999999999999,0.0013868429375142822
179,gaussian,15.0,knn,0.2,LGC,0.9990000000000001,False,0.1,spiral,8.174389362335205,0.01,,,20,0.9791333333333334,0.043275910671463
180,gaussian,15.0,knn,0.2,LGC,0.2,False,0.2,spiral_hard,10.543848514556883,0.01,,,20,0.6488666666666667,0.05338376782006554
181,gaussian,15.0,knn,0.2,LDST,,False,0.25,spiral_hard,7.453141450881957,0.5,99.0,0.25,20,0.9108666666666666,0.004341530708043986
182,gaussian,15.0,knn,0.2,LDST,,False,0.0,spiral_hard,19.96805310249329,0.01,99.0,1.0,20,0.9618666666666666,0.10186627399575278
